# From http://www.jach.hawaii.edu/JCMT/continuum/background/background.html
# Smoothed and downsampled to ~ 1 um bins.  450-WB filter with atmosphere
# Wave [um]    Trans
      400.173  0.000182613
      401.384  0.000230489
      402.601  0.000642568
      403.212  0.000583270
      403.826  0.000216879
      405.058  0.000400425
      406.298  0.000536498
      406.921   0.00131165
      407.545   0.00152146
      408.172   0.00241821
      408.801   0.00373594
      409.431   0.00446702
      410.063   0.00407992
      410.698   0.00329393
      411.334   0.00416419
      411.972   0.00360407
      412.613   0.00473598
      413.255   0.00510925
      413.899   0.00900537
      414.546    0.0113336
      415.194    0.0114775
      415.844    0.0121587
      416.497    0.0101223
      417.151    0.0102936
      417.808    0.0127548
      418.466    0.0126170
      419.127    0.0215076
      419.790    0.0167442
      420.455    0.0295465
      421.122    0.0292722
      421.791    0.0312575
      422.462    0.0276835
      423.135    0.0360594
      423.811    0.0483936
      424.488    0.0480979
      425.168    0.0565089
      425.850    0.0729683
      426.534    0.0756623
      427.221    0.0787048
      427.910    0.0670738
      428.600    0.0874455
      429.293    0.0840124
      429.989    0.0948962
      430.686     0.118106
      431.386     0.131880
      432.088     0.154658
      432.793     0.167430
      433.499     0.192433
      434.208     0.156278
      434.920     0.211337
      435.634     0.214776
      436.350     0.285800
      437.068     0.253493
      437.789     0.277303
      438.512     0.292463
      439.237     0.285059
      439.965     0.278164
      440.696     0.270277
      441.428     0.310024
      442.164     0.330892
      442.901     0.310810
      443.642     0.336496
      444.384     0.353666
      445.129     0.393998
      445.877     0.374841
      446.627     0.379411
      447.380     0.370090
      448.135     0.396449
      448.893     0.419599
      449.653     0.394494
      450.416     0.397604
      451.181     0.402460
      451.949     0.421540
      452.720     0.441512
      453.493     0.418329
      454.269     0.414874
      455.048     0.469499
      455.829     0.470122
      456.613     0.413659
      457.400     0.434168
      458.190     0.433204
      458.982     0.427196
      459.777     0.415390
      460.574     0.447960
      461.375     0.414650
      462.178     0.422515
      462.984     0.513035
      463.793     0.498255
      464.605     0.473864
      465.419     0.482091
      466.237     0.519068
      467.057     0.520357
      467.880     0.438049
      468.706     0.409244
      469.535     0.432313
      470.367     0.350330
      471.202     0.380157
      472.040     0.390761
      472.880     0.430948
      473.724     0.389268
      474.571     0.348535
      475.421     0.367063
      476.274     0.282361
      477.130     0.284015
      477.989     0.246372
      478.851     0.211839
      479.716     0.174593
      480.585     0.158112
      481.456     0.147104
      482.331    0.0946908
      483.209     0.157371
      484.090     0.129423
      484.975     0.105802
      485.862    0.0996494
      486.753    0.0911420
      487.647    0.0388089
      488.544    0.0265081
      489.445    0.0226364
      490.349   0.00983869
      491.257    0.0257746
      492.167    0.0185809
      493.081    0.0186974
      493.999   0.00793050
      494.920   0.00601219
      495.844   0.00192265
      496.772  0.000181934
      497.704   0.00275511
      498.638  0.000803378
      499.577  0.000221996
